# ----------------------------------------
# Reports snapshot
# Account: Outer Banks CDJR
# Property: American Bathroom Remodelers
# ----------------------------------------
#  
# Start date: 20260816
# End date: 20260912
"Smart Tech for the Modern San Diego Bathroom: Toilets, Taps, and Lighting - American Bathroom Remodelers",1

#  
# Start date: 20260816
# End date: 20260912
Event name,Event count
page_view,912
session_start,617
user_engagement,592
first_visit,511
scroll,104
click,14
tel,1

# What are your top performing key events?
# Start date: 20260816
# End date: 20260912
Event name,Key events


# Where does your average 120d value come from?
# Start date: 20260816
# End date: 20260912
First user primary channel group (Default Channel Group),Average 120d value


#  
# Start date: 20260816
# End date: 20260912
Item name,Items purchased


# How does activity on your platforms compare?
# Start date: 20260816
# End date: 20260912
Platform,Key events
